track,artist,release,track_score,spotify_streams,spotify_playlists,spotify_reach,apple_playlists,genre
Laugh Now Cry Later (feat. Lil Durk),Drake,8/14/2020,59.6,962634706,222576,40254416,170.0,Pop
Side To Side,Ariana Grande,4/1/2016,58.6,1427792654,120921,38322144,128.0,R&B
Slime You Out (feat. SZA),Drake,9/15/2023,57.9,202169670,54946,23594885,29.0,Hip-Hop
Therefore I Am,Billie Eilish,11/12/2020,57.9,805133547,132298,34341587,229.0,Indie
Fair Trade (with Travis Scott),Drake,9/3/2021,57.6,819136167,220374,42648915,67.0,R&B
34+35,Ariana Grande,10/30/2020,56.8,978617707,97191,40917688,109.0,Pop
I Don't Care (with Justin Bieber),Ed Sheeran,5/10/2019,56.5,1816356140,156748,74047669,46.0,Folk
the boy is mine,Ariana Grande,3/8/2024,56.0,175336290,8386,79812251,46.0,Hip-Hop
In My Feelings,Drake,6/29/2018,55.4,1389607643,179820,36937605,144.0,Hip-Hop
You Broke My Heart,Drake,10/6/2023,55.4,123522254,26849,21166663,25.0,Pop
THE DINER,Billie Eilish,5/17/2024,54.7,66101468,3693,9878576,45.0,Indie
when the party's over,Billie Eilish,10/17/2018,54.7,1845938685,186633,79124996,163.0,Folk
I Feel It Coming,The Weeknd,11/17/2016,53.6,1749088490,193568,52373071,298.0,Pop
We Still Don't Trust You,Future,4/12/2024,53.4,64193671,9077,15569468,31.0,Pop
Spin Bout U,Drake,11/4/2022,52.6,356685934,88034,16963292,37.0,Pop
Can't Feel My Face,The Weeknd,3/2/2015,52.6,1747534539,212829,101243254,433.0,R&B
Whoï¿½ï¿½ï¿½s Afraid of Little O,Taylor Swift,4/18/2024,52.3,166168092,5004,25607992,38.0,Indie
Massive,Drake,6/17/2022,51.7,253114498,111173,20965015,57.0,Pop
Look What You Made Me Do,Taylor Swift,8/24/2017,51.6,1152346128,93178,62880711,122.0,Folk
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,3/20/2020,51.4,1549317525,178149,71174158,309.0,R&B
no tears left to cry,Ariana Grande,4/20/2018,50.2,1331371819,100503,36840744,143.0,Pop
Holy (feat. Chance The Rapper),Justin Bieber,9/18/2020,49.3,787546548,110389,44478175,178.0,R&B
The Tortured Poets Department,Taylor Swift,4/18/2024,48.9,150693008,3273,15710281,29.0,Folk
Photograph,Ed Sheeran,1/1/2013,48.8,2525355904,208671,121163411,249.0,Folk
Virginia Beach,Drake,10/6/2023,48.8,165204421,38562,6636362,5.0,Hip-Hop
Wants and Needs (feat. Lil Baby),Drake,3/5/2021,48.6,793287638,225513,37094631,130.0,Pop
"So Long, London",Taylor Swift,4/18/2024,47.8,175613480,4454,20883678,29.0,Folk
Take My Breath - Single Version,The Weeknd,8/5/2021,45.9,465348362,89586,17062402,151.0,Pop
Lavender Haze,Taylor Swift,10/21/2022,45.9,711138043,42535,28394531,66.0,Indie
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,2/5/2021,44.5,812954133,137681,53947304,147.0,R&B
My Boy Only Breaks His Favorite Toys,Taylor Swift,4/18/2024,44.0,161916445,3784,17036800,32.0,Folk
Florida!!! (feat. Florence + the Machine),Taylor Swift,4/18/2024,44.0,140177107,3866,16996059,19.0,Folk
Girls Want Girls (with Lil Baby),Drake,9/3/2021,43.9,459480135,137691,22202207,77.0,R&B
N95,Kendrick Lamar,5/13/2022,43.4,426936498,118020,24734503,48.0,Hip-Hop
Earned It (Fifty Shades Of Grey),The Weeknd,2/10/2015,43.4,1667089416,97707,24754802,26.0,R&B
Fried (She a Vibe),Future,3/22/2024,42.9,33224742,8465,12808538,8.0,Pop
Nonstop,Drake,6/29/2018,42.6,1118459427,175188,51548109,147.0,Hip-Hop
Guilty as Sin?,Taylor Swift,4/18/2024,42.1,165611453,4418,21928475,34.0,Folk
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,2/5/2021,42.0,939627795,67381,127728248,61.0,Pop
What Do You Mean?,Justin Bieber,11/20/2011,41.6,1599742798,137106,54447816,272.0,R&B
TV,Billie Eilish,7/21/2022,41.5,572602278,80064,39873526,53.0,Folk
But Daddy I Love Him,Taylor Swift,4/18/2024,41.5,154819909,3535,21565868,41.0,Folk
Karma,Taylor Swift,10/21/2022,41.3,777305444,47435,45285568,63.0,Folk
All The Stars (with SZA),Kendrick Lamar,1/4/2018,41.2,1638529683,207686,66120497,152.0,Hip-Hop
Passionfruit,Drake,3/18/2017,41.1,1625307365,288559,72837714,241.0,Hip-Hop
Stuck with U (with Justin Bieber),Ariana Grande,5/8/2020,40.9,1120501187,116269,56772519,154.0,Pop
Baby,Justin Bieber,1/1/2010,40.7,952635214,136655,76732478,90.0,R&B
On BS,Drake,11/4/2022,40.7,253540951,82934,17735363,17.0,Pop
After Hours,The Weeknd,2/19/2020,39.0,942637026,146801,30163694,77.0,R&B
Lonely (with benny blanco),Justin Bieber,10/16/2020,38.9,820172575,119464,35423440,152.0,Pop
Hold On,Justin Bieber,3/5/2021,38.9,749776475,98447,21788917,129.0,Pop
cardigan,Taylor Swift,7/24/2020,38.4,1307283069,94169,67796903,131.0,Folk
Chicago Freestyle (feat. Giveon),Drake,5/1/2020,38.3,763384135,200270,32837352,61.0,Pop
Heartless,The Weeknd,11/27/2019,38.0,975754682,137196,28066964,99.0,Hip-Hop
Sticky,Drake,6/17/2022,37.9,253177498,83779,16621189,40.0,Pop
Lover,Taylor Swift,8/16/2019,37.8,1413268808,104435,94697921,201.0,R&B
Galway Girl,Ed Sheeran,3/3/2017,37.5,1311631709,121737,38983968,64.0,Indie
Nice For What,Drake,4/6/2018,37.4,1276685592,192868,46195383,187.0,Hip-Hop
Style (Taylor's Version),Taylor Swift,10/26/2023,37.3,211462881,15136,20309268,46.0,R&B
Die For You,The Weeknd,11/25/2016,37.0,2265551950,185803,50288436,131.0,R&B
Into You,Ariana Grande,4/1/2016,37.0,1368497471,112014,38138998,110.0,Pop
Hotline Bling,Drake,7/31/2015,36.7,1335494972,205003,49738762,376.0,Hip-Hop
Castle on the Hill,Ed Sheeran,1/6/2017,36.2,1340305216,128114,42923398,157.0,Indie
Popular,The Weeknd,6/2/2023,35.6,812954133,8642,1440402,26.0,Indie
Anyone,Justin Bieber,1/1/2021,35.6,689413808,86677,29278931,171.0,Pop
Pussy & Millions (feat. Travis Scott),Drake,11/4/2022,35.3,273457499,90842,21454523,15.0,Pop
bury a friend,Billie Eilish,1/30/2019,35.0,1014870547,114243,30570088,122.0,Indie
Bad Blood,Taylor Swift,1/1/2014,34.0,602316735,64462,20443761,91.0,Hip-Hop
LOVE YOU BETTER,Future,4/29/2022,33.8,128787729,37150,4216777,12.0,Pop
"break up with your girlfriend, i'm bored",Ariana Grande,2/8/2019,33.7,975281654,82431,31929703,74.0,Pop
Low Life,Future,2/12/2016,33.3,884825594,165579,32192169,74.0,Hip-Hop
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,11/12/2021,33.1,842558786,55074,40675939,86.0,Folk
Dangerous Woman,Ariana Grande,3/11/2016,32.9,1120622892,104167,39070160,90.0,R&B
Problem,Ariana Grande,1/1/2014,32.9,863631428,84796,36693869,113.0,Pop
hotline (edit),Billie Eilish,5/9/2023,32.3,366169549,36901,11637721,5.0,Pop
loml,Taylor Swift,4/18/2024,31.9,115748552,3133,26378677,18.0,Folk
In Your Eyes,The Weeknd,3/20/2020,31.8,940914292,130934,30398290,115.0,R&B
Circo Loco,Drake,11/4/2022,31.6,201467069,74719,15970383,25.0,Pop
intro (end of the world),Ariana Grande,3/8/2024,31.5,216386557,6696,14339377,15.0,Hip-Hop
Die Hard,Kendrick Lamar,5/13/2022,31.4,318340376,83638,10749840,36.0,Hip-Hop
You Need To Calm Down,Taylor Swift,6/14/2019,31.3,935098853,63937,44356528,159.0,R&B
pov,Ariana Grande,10/30/2020,31.0,541397856,62958,23901981,47.0,Pop
idontwannabeyouanymore,Billie Eilish,7/21/2017,30.8,1091185920,114997,28172038,37.0,Indie
Money Trees,Kendrick Lamar,1/1/2012,30.8,1476217041,352198,59811242,117.0,Hip-Hop
DNA.,Kendrick Lamar,4/14/2017,30.7,1157112366,185660,44429618,191.0,Hip-Hop
bye,Ariana Grande,3/8/2024,30.6,127408697,6270,16012094,13.0,Hip-Hop
Gently (feat. Bad Bunny),Drake,10/6/2023,30.5,123630149,25645,5218214,19.0,Hip-Hop
8am in Charlotte,Drake,10/6/2023,30.5,81093233,34004,4164888,7.0,Hip-Hop
willow,Taylor Swift,12/10/2020,30.4,844790027,67136,50350718,167.0,Folk
Whatï¿½ï¿½ï¿½,Drake,3/5/2021,30.4,383261731,94964,21697781,62.0,Hip-Hop
One Last Time,Ariana Grande,8/21/2014,30.2,1465918510,110953,65876311,102.0,R&B
Happier,Ed Sheeran,3/3/2017,29.9,1322385342,109373,54954226,37.0,Indie
The Smallest Man Who Ever Lived,Taylor Swift,4/18/2024,29.8,122986507,2923,11950658,25.0,Folk
Everyday Hustle,Future,3/22/2024,29.7,32935844,9191,3072155,9.0,Pop
Love Story (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,2/12/2021,29.3,763292840,71179,60479422,100.0,Folk
you should see me in a crown,Billie Eilish,7/18/2018,29.3,860596912,103375,35817894,82.0,Indie
i love you,Billie Eilish,3/29/2019,29.2,930343185,116055,42732119,35.0,Folk
No Time To Die,Billie Eilish,2/13/2020,29.2,610838644,91391,29634724,88.0,Indie
Rich Spirit,Kendrick Lamar,5/13/2022,28.9,254191262,68188,10639841,23.0,Hip-Hop
Major Distribution,Drake,11/4/2022,28.9,199662854,70800,15434966,27.0,Pop
So High School,Taylor Swift,4/19/2024,28.6,97601615,3397,13075013,18.0,Indie
Is There Someone Else?,The Weeknd,2/5/2021,28.6,669099980,87216,26997782,13.0,R&B
Pray For Me,The Weeknd,2/2/2018,28.5,918478800,139420,28588643,77.0,Hip-Hop
The Alchemy,Taylor Swift,4/18/2024,28.3,106201248,2992,15108991,19.0,Folk
Out of Time,The Weeknd,2/5/2021,28.3,451878749,78793,18239674,41.0,R&B
Karma,Taylor Swift,10/21/2022,28.3,777305444,2358,643308,17.0,Folk
Daylight,Drake,10/6/2023,28.2,78417212,26088,13353722,7.0,Hip-Hop
Rich Flex,Drake,11/3/2022,28.2,811888874,5471,1026240,23.0,Pop
Ice Attack,Future,3/22/2024,28.0,38912003,9619,2346613,4.0,Pop
Bejeweled,Taylor Swift,10/21/2022,27.8,536110386,32472,22834672,46.0,Folk
United In Grief,Kendrick Lamar,5/13/2022,27.8,246425341,81509,7710812,5.0,Hip-Hop
Double Fantasy (with Future),The Weeknd,4/21/2023,27.7,180940067,36631,14272823,31.0,Pop
Break Free,Ariana Grande,1/1/2014,27.6,899830382,96199,41829450,123.0,Pop
Red Leather,Future,4/12/2024,27.5,22715763,6606,6526571,4.0,Pop
Jumbotron Shit Poppin,Drake,11/4/2022,27.4,126296463,44782,4407877,22.0,Pop
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The,Taylor Swift,7/7/2023,27.3,247056218,19231,16723973,30.0,Folk
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,7/11/2019,27.3,765374782,69032,29531913,109.0,Pop
Bellyache,Billie Eilish,2/24/2017,27.2,965899534,101445,18858886,76.0,Indie
Midnight Rain,Taylor Swift,10/21/2022,27.0,658208129,36730,23499391,26.0,Folk
imgonnagetyouback,Taylor Swift,4/19/2024,26.7,88244010,2659,8584946,9.0,Indie
Wildest Dreams,Taylor Swift,1/1/2014,26.7,964058806,102916,33415141,76.0,Folk
I Knew You Were Trouble.,Taylor Swift,1/1/2012,26.5,839642356,110606,35486997,62.0,Folk
Fresh Out The Slammer,Taylor Swift,4/18/2024,26.5,105424914,2473,7785632,12.0,Folk
Champagne Poetry,Drake,9/3/2021,26.3,308396120,99705,14089454,16.0,R&B
Your Power,Billie Eilish,4/29/2021,26.3,423439672,79149,22567177,130.0,Folk
Delicate,Taylor Swift,11/10/2017,26.0,987770768,58856,33732271,81.0,Folk
On The Radar Freestyle,Drake,7/26/2023,25.9,86155124,34804,13487736,22.0,Pop
Reminder,The Weeknd,11/25/2016,25.9,1015965940,125348,27076169,56.0,R&B
"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,10/26/2023,25.9,265932119,15133,21522387,14.0,Folk
Silent Hill,Kendrick Lamar,5/13/2022,25.7,151507054,63279,7054692,24.0,Hip-Hop
Jumpman,Drake,9/20/2015,25.5,820380309,115960,29602345,187.0,Hip-Hop
Blank Space (Taylor's Version),Taylor Swift,10/26/2023,25.5,177731392,12908,25416651,53.0,Folk
Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,10/26/2023,25.4,269790122,15686,16083942,7.0,Folk
Beauty And A Beat,Justin Bieber,1/1/2012,25.4,827079737,123017,55637959,47.0,Pop
august,Taylor Swift,7/24/2020,25.3,1101296591,84267,76240482,50.0,Folk
Drankin N Smokin,Future,11/13/2020,25.1,300694036,111117,17871947,58.0,Pop
Count Me Out,Kendrick Lamar,5/13/2022,25.1,201021118,64247,6844165,7.0,Hip-Hop
Jimmy Cook's (feat. 21 Savage),Drake,6/17/2022,24.8,971473231,8682,1452190,30.0,Pop
Snow On The Beach (feat. Lana Del Rey),Taylor Swift,10/21/2022,24.6,429910250,32432,18417473,55.0,Folk
What Would Pluto Do,Drake,10/6/2023,24.5,59262518,22927,2972767,3.0,Hip-Hop
Fake Love,Drake,1/27/2017,24.5,967826246,87948,19654087,121.0,Pop
eternal sunshine,Ariana Grande,3/8/2024,24.4,113104452,5316,7545326,7.0,Hip-Hop
We Are Never Ever Getting Back Together,Taylor Swift,1/1/2012,24.4,669895431,82898,30660565,90.0,Folk
Style,Taylor Swift,1/1/2014,24.4,1216966135,92577,30252887,116.0,R&B
Swimming Pools (Drank),Kendrick Lamar,1/1/2012,24.2,731646994,157106,24325603,62.0,Pop
Sacrifice,The Weeknd,2/5/2021,24.2,387273112,61978,16015269,59.0,R&B
The Prophecy,Taylor Swift,4/19/2024,24.2,81419779,3003,13808567,6.0,Folk
Thinking out Loud,Ed Sheeran,11/20/2011,24.1,2502925593,212574,119020197,360.0,Pop
First Person Shooter (feat. J. Cole),Drake,10/6/2023,24.0,328526298,14390,6681758,24.0,Pop
Privileged Rappers,Drake,11/4/2022,23.8,167840439,54445,11034203,6.0,Pop
boyfriend (with Social House),Ariana Grande,8/2/2019,23.8,809537829,72598,26362809,60.0,Pop
Afterglow,Ed Sheeran,1/1/2020,23.7,461495506,64344,35844454,150.0,Folk
Broke Boys,Drake,11/4/2022,23.5,143220845,57819,6493900,4.0,Pop
Take Care,Drake,11/15/2011,23.4,622498643,110679,26798475,93.0,Hip-Hop
Yebbaï¿½ï¿½ï¿½s Hear,Drake,9/3/2021,23.3,349849639,81889,12970647,13.0,R&B
I Was Never There,The Weeknd,3/29/2018,23.1,995463505,139596,44549966,28.0,R&B
Another Late Night (feat. Lil Yachty),Drake,10/6/2023,22.9,61355849,24182,4216247,2.0,Hip-Hop
Blinding Lights - Instrumental,The Weeknd,9/11/2020,22.8,5191059,1333,1102247,1.0,Pop
Wildest Dreams (Taylor's Version),Taylor Swift,9/17/2021,22.8,732118596,62990,35314187,74.0,Folk
"You're On Your Own, Kid",Taylor Swift,10/21/2022,22.7,587555589,34908,21579957,13.0,Folk
exile (feat. Bon Iver),Taylor Swift,7/24/2020,22.7,757789027,81489,55181767,70.0,Folk
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,4/26/2019,22.7,859985881,17061,4818145,112.0,Pop
Boyfriend,Justin Bieber,1/1/2012,22.6,538918222,73149,29404069,43.0,Pop
Marvins Room,Drake,7/22/2011,22.5,597923434,102247,25718396,81.0,Hip-Hop
The Motto,Drake,11/15/2011,22.5,549699659,89323,25996675,89.0,Hip-Hop
Love Me Harder,Ariana Grande,1/1/2014,22.4,917284463,80957,31639571,84.0,Pop
You Belong With Me,Taylor Swift,1/1/2008,22.2,643828366,87942,27210610,45.0,Folk
Often,The Weeknd,1/1/2014,22.2,982399328,142822,40628124,47.0,R&B
I Can Fix Him (No Really I Can),Taylor Swift,4/18/2024,21.7,92296736,2336,7788313,9.0,Folk
Shake It Off (Taylor's Version),Taylor Swift,10/26/2023,21.7,118707702,10228,19750632,72.0,Folk
Clara Bow,Taylor Swift,4/18/2024,21.7,83518075,2267,5904252,8.0,Folk
March Madness,Future,3/21/2015,21.7,169574765,46212,10914718,72.0,Pop
WTFYM,Future,3/22/2024,21.7,17192758,5834,2628670,4.0,Pop
The Black Dog,Taylor Swift,4/19/2024,21.6,81662552,2325,7529867,8.0,Indie
all the good girls go to hell,Billie Eilish,3/29/2019,21.3,640099263,74072,22449798,40.0,R&B
thanK you aIMee,Taylor Swift,4/19/2024,21.3,65809859,1728,11038428,5.0,Folk
"Bitch, Donï¿½ï¿½ï¿½t Kill M",Kendrick Lamar,1/1/2012,21.2,721771477,182518,23222997,73.0,Hip-Hop
Out Of My Hands,Future,4/12/2024,21.1,19420471,5261,2177045,1.0,Pop
Members Only (feat. PARTYNEXTDOOR),Drake,10/6/2023,21.1,64168685,21270,4593922,6.0,Hip-Hop
Too Good,Drake,4/29/2016,21.1,1052473730,126251,30938220,176.0,Hip-Hop
How Did It End?,Taylor Swift,4/19/2024,20.9,72634553,2185,14312275,6.0,Folk
All The Parties (feat. Chief Keef),Drake,10/6/2023,20.7,48556312,18674,2057602,5.0,Hip-Hop
Hours In Silence,Drake,11/4/2022,20.6,147688885,45526,10274263,11.0,Pop
No Friends In The Industry,Drake,9/3/2021,20.4,219008713,75763,15186307,38.0,R&B
breathin,Ariana Grande,8/17/2018,20.4,633631183,43387,15890645,50.0,Pop
Fear Of Heights,Drake,10/6/2023,20.1,65870686,22047,2768716,4.0,Hip-Hop
Slimed In,Future,3/22/2024,20.1,28767834,6271,11390894,3.0,Pop
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,4/14/2017,20.0,669703929,101138,18743066,159.0,Hip-Hop
Show of Hands,Future,4/12/2024,19.7,19215365,5410,3554627,8.0,Pop
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,4/9/2021,19.7,662057533,59739,35937845,53.0,Folk
Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,10/26/2023,19.7,176970541,12080,14949964,10.0,Folk
NDA,Billie Eilish,7/9/2021,19.7,333792226,59316,13920863,80.0,Indie
The Heart Part 5,Kendrick Lamar,5/8/2022,19.7,89806639,41371,4068649,21.0,Hip-Hop
my future,Billie Eilish,7/30/2020,19.6,461892532,69326,20986678,94.0,R&B
God is a woman,Ariana Grande,7/13/2018,19.6,1064927546,83580,36516267,90.0,Pop
Focus,Ariana Grande,10/30/2015,19.5,315697428,27166,9169246,84.0,R&B
