track,artist,release,track_score,spotify_streams,spotify_playlists,spotify_reach,apple_playlists,genre
no tears left to cry,Ariana Grande,4/20/2018,50.2,1331371819,100503,36840744,143,Pop
Holy (feat. Chance The Rapper),Justin Bieber,9/18/2020,49.3,787546548,110389,44478175,178,R&B
The Tortured Poets Department,Taylor Swift,4/18/2024,48.9,150693008,3273,15710281,29,Folk
Photograph,Ed Sheeran,1/1/2013,48.8,2525355904,208671,121163411,249,Folk
Virginia Beach,Drake,10/6/2023,48.8,165204421,38562,6636362,5,Hip-Hop
"So Long, London",Taylor Swift,4/18/2024,47.8,175613480,4454,20883678,29,Folk
Take My Breath - Single Version,The Weeknd,8/5/2021,45.9,465348362,89586,17062402,151,Pop
Lavender Haze,Taylor Swift,10/21/2022,45.9,711138043,42535,28394531,66,Indie
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,2/5/2021,44.5,812954133,137681,53947304,147,R&B
My Boy Only Breaks His Favorite Toys,Taylor Swift,4/18/2024,44.0,161916445,3784,17036800,32,Folk
Florida!!! (feat. Florence + the Machine),Taylor Swift,4/18/2024,44.0,140177107,3866,16996059,19,Folk
Girls Want Girls (with Lil Baby),Drake,9/3/2021,43.9,459480135,137691,22202207,77,R&B
N95,Kendrick Lamar,5/13/2022,43.4,426936498,118020,24734503,48,Hip-Hop
Earned It (Fifty Shades Of Grey),The Weeknd,2/10/2015,43.4,1667089416,97707,24754802,26,R&B
Nonstop,Drake,6/29/2018,42.6,1118459427,175188,51548109,147,Hip-Hop
Guilty as Sin?,Taylor Swift,4/18/2024,42.1,165611453,4418,21928475,34,Folk
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,2/5/2021,42.0,939627795,67381,127728248,61,Pop
What Do You Mean?,Justin Bieber,11/20/2011,41.6,1599742798,137106,54447816,272,R&B
TV,Billie Eilish,7/21/2022,41.5,572602278,80064,39873526,53,Folk
But Daddy I Love Him,Taylor Swift,4/18/2024,41.5,154819909,3535,21565868,41,Folk
Karma,Taylor Swift,10/21/2022,41.3,777305444,47435,45285568,63,Folk
All The Stars (with SZA),Kendrick Lamar,1/4/2018,41.2,1638529683,207686,66120497,152,Hip-Hop
Passionfruit,Drake,3/18/2017,41.1,1625307365,288559,72837714,241,Hip-Hop
Stuck with U (with Justin Bieber),Ariana Grande,5/8/2020,40.9,1120501187,116269,56772519,154,Pop
Baby,Justin Bieber,1/1/2010,40.7,952635214,136655,76732478,90,R&B
After Hours,The Weeknd,2/19/2020,39.0,942637026,146801,30163694,77,R&B
Lonely (with benny blanco),Justin Bieber,10/16/2020,38.9,820172575,119464,35423440,152,Pop
Hold On,Justin Bieber,3/5/2021,38.9,749776475,98447,21788917,129,Pop
cardigan,Taylor Swift,7/24/2020,38.4,1307283069,94169,67796903,131,Folk
Heartless,The Weeknd,11/27/2019,38.0,975754682,137196,28066964,99,Hip-Hop
Lover,Taylor Swift,8/16/2019,37.8,1413268808,104435,94697921,201,R&B
Galway Girl,Ed Sheeran,3/3/2017,37.5,1311631709,121737,38983968,64,Indie
Nice For What,Drake,4/6/2018,37.4,1276685592,192868,46195383,187,Hip-Hop
Style (Taylor's Version),Taylor Swift,10/26/2023,37.3,211462881,15136,20309268,46,R&B
Die For You,The Weeknd,11/25/2016,37.0,2265551950,185803,50288436,131,R&B
Hotline Bling,Drake,7/31/2015,36.7,1335494972,205003,49738762,376,Hip-Hop
Castle on the Hill,Ed Sheeran,1/6/2017,36.2,1340305216,128114,42923398,157,Indie
Popular,The Weeknd,6/2/2023,35.6,812954133,8642,1440402,26,Indie
bury a friend,Billie Eilish,1/30/2019,35.0,1014870547,114243,30570088,122,Indie
Bad Blood,Taylor Swift,1/1/2014,34.0,602316735,64462,20443761,91,Hip-Hop
"break up with your girlfriend, i'm bored",Ariana Grande,2/8/2019,33.7,975281654,82431,31929703,74,Pop
Low Life,Future,2/12/2016,33.3,884825594,165579,32192169,74,Hip-Hop
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,11/12/2021,33.1,842558786,55074,40675939,86,Folk
Dangerous Woman,Ariana Grande,3/11/2016,32.9,1120622892,104167,39070160,90,R&B
loml,Taylor Swift,4/18/2024,31.9,115748552,3133,26378677,18,Folk
In Your Eyes,The Weeknd,3/20/2020,31.8,940914292,130934,30398290,115,R&B
intro (end of the world),Ariana Grande,3/8/2024,31.5,216386557,6696,14339377,15,Hip-Hop
Die Hard,Kendrick Lamar,5/13/2022,31.4,318340376,83638,10749840,36,Hip-Hop
You Need To Calm Down,Taylor Swift,6/14/2019,31.3,935098853,63937,44356528,159,R&B
idontwannabeyouanymore,Billie Eilish,7/21/2017,30.8,1091185920,114997,28172038,37,Indie
Money Trees,Kendrick Lamar,1/1/2012,30.8,1476217041,352198,59811242,117,Hip-Hop
DNA.,Kendrick Lamar,4/14/2017,30.7,1157112366,185660,44429618,191,Hip-Hop
bye,Ariana Grande,3/8/2024,30.6,127408697,6270,16012094,13,Hip-Hop
Gently (feat. Bad Bunny),Drake,10/6/2023,30.5,123630149,25645,5218214,19,Hip-Hop
8am in Charlotte,Drake,10/6/2023,30.5,81093233,34004,4164888,7,Hip-Hop
willow,Taylor Swift,12/10/2020,30.4,844790027,67136,50350718,167,Folk
Whatï¿½ï¿½ï¿½,Drake,3/5/2021,30.4,383261731,94964,21697781,62,Hip-Hop
One Last Time,Ariana Grande,8/21/2014,30.2,1465918510,110953,65876311,102,R&B
Happier,Ed Sheeran,3/3/2017,29.9,1322385342,109373,54954226,37,Indie
The Smallest Man Who Ever Lived,Taylor Swift,4/18/2024,29.8,122986507,2923,11950658,25,Folk
Love Story (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,2/12/2021,29.3,763292840,71179,60479422,100,Folk
you should see me in a crown,Billie Eilish,7/18/2018,29.3,860596912,103375,35817894,82,Indie
i love you,Billie Eilish,3/29/2019,29.2,930343185,116055,42732119,35,Folk
No Time To Die,Billie Eilish,2/13/2020,29.2,610838644,91391,29634724,88,Indie
Rich Spirit,Kendrick Lamar,5/13/2022,28.9,254191262,68188,10639841,23,Hip-Hop
So High School,Taylor Swift,4/19/2024,28.6,97601615,3397,13075013,18,Indie
Is There Someone Else?,The Weeknd,2/5/2021,28.6,669099980,87216,26997782,13,R&B
Pray For Me,The Weeknd,2/2/2018,28.5,918478800,139420,28588643,77,Hip-Hop
The Alchemy,Taylor Swift,4/18/2024,28.3,106201248,2992,15108991,19,Folk
Out of Time,The Weeknd,2/5/2021,28.3,451878749,78793,18239674,41,R&B
Karma,Taylor Swift,10/21/2022,28.3,777305444,2358,643308,17,Folk
Daylight,Drake,10/6/2023,28.2,78417212,26088,13353722,7,Hip-Hop
Bejeweled,Taylor Swift,10/21/2022,27.8,536110386,32472,22834672,46,Folk
United In Grief,Kendrick Lamar,5/13/2022,27.8,246425341,81509,7710812,5,Hip-Hop
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The,Taylor Swift,7/7/2023,27.3,247056218,19231,16723973,30,Folk
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,7/11/2019,27.3,765374782,69032,29531913,109,Pop
Bellyache,Billie Eilish,2/24/2017,27.2,965899534,101445,18858886,76,Indie
Midnight Rain,Taylor Swift,10/21/2022,27.0,658208129,36730,23499391,26,Folk
imgonnagetyouback,Taylor Swift,4/19/2024,26.7,88244010,2659,8584946,9,Indie
Wildest Dreams,Taylor Swift,1/1/2014,26.7,964058806,102916,33415141,76,Folk
I Knew You Were Trouble.,Taylor Swift,1/1/2012,26.5,839642356,110606,35486997,62,Folk
Fresh Out The Slammer,Taylor Swift,4/18/2024,26.5,105424914,2473,7785632,12,Folk
Champagne Poetry,Drake,9/3/2021,26.3,308396120,99705,14089454,16,R&B
Your Power,Billie Eilish,4/29/2021,26.3,423439672,79149,22567177,130,Folk
Delicate,Taylor Swift,11/10/2017,26.0,987770768,58856,33732271,81,Folk
Reminder,The Weeknd,11/25/2016,25.9,1015965940,125348,27076169,56,R&B
"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,10/26/2023,25.9,265932119,15133,21522387,14,Folk
Silent Hill,Kendrick Lamar,5/13/2022,25.7,151507054,63279,7054692,24,Hip-Hop
Jumpman,Drake,9/20/2015,25.5,820380309,115960,29602345,187,Hip-Hop
Blank Space (Taylor's Version),Taylor Swift,10/26/2023,25.5,177731392,12908,25416651,53,Folk
Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,10/26/2023,25.4,269790122,15686,16083942,7,Folk
Beauty And A Beat,Justin Bieber,1/1/2012,25.4,827079737,123017,55637959,47,Pop
august,Taylor Swift,7/24/2020,25.3,1101296591,84267,76240482,50,Folk
Count Me Out,Kendrick Lamar,5/13/2022,25.1,201021118,64247,6844165,7,Hip-Hop
Snow On The Beach (feat. Lana Del Rey),Taylor Swift,10/21/2022,24.6,429910250,32432,18417473,55,Folk
What Would Pluto Do,Drake,10/6/2023,24.5,59262518,22927,2972767,3,Hip-Hop
Fake Love,Drake,1/27/2017,24.5,967826246,87948,19654087,121,Pop
eternal sunshine,Ariana Grande,3/8/2024,24.4,113104452,5316,7545326,7,Hip-Hop
We Are Never Ever Getting Back Together,Taylor Swift,1/1/2012,24.4,669895431,82898,30660565,90,Folk
Style,Taylor Swift,1/1/2014,24.4,1216966135,92577,30252887,116,R&B
Swimming Pools (Drank),Kendrick Lamar,1/1/2012,24.2,731646994,157106,24325603,62,Pop
Sacrifice,The Weeknd,2/5/2021,24.2,387273112,61978,16015269,59,R&B
The Prophecy,Taylor Swift,4/19/2024,24.2,81419779,3003,13808567,6,Folk
Afterglow,Ed Sheeran,1/1/2020,23.7,461495506,64344,35844454,150,Folk
Take Care,Drake,11/15/2011,23.4,622498643,110679,26798475,93,Hip-Hop
Yebbaï¿½ï¿½ï¿½s Hear,Drake,9/3/2021,23.3,349849639,81889,12970647,13,R&B
I Was Never There,The Weeknd,3/29/2018,23.1,995463505,139596,44549966,28,R&B
Another Late Night (feat. Lil Yachty),Drake,10/6/2023,22.9,61355849,24182,4216247,2,Hip-Hop
Wildest Dreams (Taylor's Version),Taylor Swift,9/17/2021,22.8,732118596,62990,35314187,74,Folk
"You're On Your Own, Kid",Taylor Swift,10/21/2022,22.7,587555589,34908,21579957,13,Folk
exile (feat. Bon Iver),Taylor Swift,7/24/2020,22.7,757789027,81489,55181767,70,Folk
Marvins Room,Drake,7/22/2011,22.5,597923434,102247,25718396,81,Hip-Hop
The Motto,Drake,11/15/2011,22.5,549699659,89323,25996675,89,Hip-Hop
You Belong With Me,Taylor Swift,1/1/2008,22.2,643828366,87942,27210610,45,Folk
Often,The Weeknd,1/1/2014,22.2,982399328,142822,40628124,47,R&B
I Can Fix Him (No Really I Can),Taylor Swift,4/18/2024,21.7,92296736,2336,7788313,9,Folk
Shake It Off (Taylor's Version),Taylor Swift,10/26/2023,21.7,118707702,10228,19750632,72,Folk
Clara Bow,Taylor Swift,4/18/2024,21.7,83518075,2267,5904252,8,Folk
The Black Dog,Taylor Swift,4/19/2024,21.6,81662552,2325,7529867,8,Indie
all the good girls go to hell,Billie Eilish,3/29/2019,21.3,640099263,74072,22449798,40,R&B
thanK you aIMee,Taylor Swift,4/19/2024,21.3,65809859,1728,11038428,5,Folk
"Bitch, Donï¿½ï¿½ï¿½t Kill M",Kendrick Lamar,1/1/2012,21.2,721771477,182518,23222997,73,Hip-Hop
Members Only (feat. PARTYNEXTDOOR),Drake,10/6/2023,21.1,64168685,21270,4593922,6,Hip-Hop
Too Good,Drake,4/29/2016,21.1,1052473730,126251,30938220,176,Hip-Hop
How Did It End?,Taylor Swift,4/19/2024,20.9,72634553,2185,14312275,6,Folk
All The Parties (feat. Chief Keef),Drake,10/6/2023,20.7,48556312,18674,2057602,5,Hip-Hop
No Friends In The Industry,Drake,9/3/2021,20.4,219008713,75763,15186307,38,R&B
breathin,Ariana Grande,8/17/2018,20.4,633631183,43387,15890645,50,Pop
Fear Of Heights,Drake,10/6/2023,20.1,65870686,22047,2768716,4,Hip-Hop
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,4/14/2017,20.0,669703929,101138,18743066,159,Hip-Hop
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,4/9/2021,19.7,662057533,59739,35937845,53,Folk
Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,10/26/2023,19.7,176970541,12080,14949964,10,Folk
NDA,Billie Eilish,7/9/2021,19.7,333792226,59316,13920863,80,Indie
The Heart Part 5,Kendrick Lamar,5/8/2022,19.7,89806639,41371,4068649,21,Hip-Hop
my future,Billie Eilish,7/30/2020,19.6,461892532,69326,20986678,94,R&B
God is a woman,Ariana Grande,7/13/2018,19.6,1064927546,83580,36516267,90,Pop
Focus,Ariana Grande,10/30/2015,19.5,315697428,27166,9169246,84,R&B
